# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
56,1751,0.730438,1.659096,3.673268
57,1752,0.517108,1.203617,2.608548
57,1751,0.577471,1.436905,2.445039
56,1748,0.493012,1.150838,1.900569
56,1748,0.764347,1.807946,4.080381
56,1748,0.958391,1.952957,4.206855
56,1748,0.670065,1.512510,3.235451
56,1748,0.642243,1.412728,3.015102
56,1748,0.971219,2.194252,4.439864
56,1748,0.747839,1.703392,3.562634
56,1748,0.721101,1.674841,3.678670
57,1747,0.512090,1.185503,2.535704
57,1747,0.568714,1.272434,2.556517
56,1747,0.470376,1.128556,1.829661
56,1747,0.831316,1.967298,4.117996
56,1747,0.550862,1.236808,2.404601
56,1747,0.594681,1.293983,2.797244
56,1747,0.755811,1.817461,4.094016
56,1747,0.836532,1.949506,4.125188
56,1747,0.668234,1.516948,3.320067
56,1747,0.864495,2.050684,4.202250
57,1751,0.533819,1.264802,2.425344
57,1751,0.558450,1.210294,2.561162
57,1749,0.462318,1.131540,1.851913
57,1749,0.642157,1.407191,3.023412
57,1749,0.971070,2.293408,4.488338
57,1749,0.749586,1.709000,3.770382
57,1749,0.794312,1.792749,3.933716
57,1749,0.859677,1.967223,3.866491
57,1749,0.677715,1.511349,3.068519
57,1749,0.570550,1.194258,2.480839
58,1749,0.459022,1.147497,2.491707
58,1749,0.665724,1.339764,2.504804
57,1742,0.494828,1.193645,1.851107
56,1736,0.534671,1.183044,2.374244
57,1733,0.416015,1.137840,2.324566
57,1733,0.633226,1.187962,2.324238
56,1728,0.511112,1.123586,1.765745
57,1734,0.521569,1.146608,2.323809
57,1733,0.539265,1.204701,1.810309
56,1732,0.501289,1.150933,2.392336
57,1738,0.463529,1.151540,2.388206
57,1738,0.692636,1.271571,2.367128
56,1736,0.484919,1.134714,1.756134
56,1736,0.562550,1.185589,2.378031
57,1735,0.428077,1.086633,2.335791
57,1735,0.542940,1.206243,1.782617
56,1733,0.503603,1.155109,2.328305
57,1734,0.458207,1.134436,2.299003
57,1733,0.497723,1.173479,1.947799
56,1733,0.478654,1.159737,2.334991
56,1733,0.946894,1.939940,4.103876
57,1745,0.519979,1.211073,2.376048
57,1737,0.570420,1.208348,2.344361
57,1736,0.557792,1.213668,1.830391
56,1734,0.953708,2.268420,4.342571
56,1734,0.824454,1.718525,3.644497
57,1733,0.497502,1.121067,2.345568
57,1733,0.583253,1.233839,2.341941
57,1732,0.886742,1.199141,1.801574
56,1732,0.830450,1.940789,3.905796
56,1732,0.544419,1.157388,2.343885
56,1732,0.595744,1.302416,2.729232
56,1732,0.777808,1.796128,3.889868
56,1732,0.837739,1.877829,3.664082
56,1732,0.547284,1.147806,2.327692
56,1732,0.588973,1.278253,2.614586
57,1731,0.436151,1.121882,2.340110
57,1731,0.555078,1.168458,2.428922
56,1728,0.440703,1.115756,1.795584
56,1728,0.852870,1.994534,3.932865
57,1745,0.591096,1.359088,2.718848
57,1729,0.611636,1.161287,2.414997
57,1728,0.522826,1.200027,1.798289
57,1728,1.147828,2.657543,5.452263
57,1728,0.737003,1.651907,3.329765
57,1728,0.652723,1.446015,3.025260
57,1728,0.827411,1.854115,4.025157
57,1728,0.841646,1.788367,3.628034
57,1728,0.646187,1.372821,2.867791
57,1728,0.942170,2.164090,4.590292
58,1730,0.523609,1.150219,2.332498
58,1729,0.618221,1.353814,2.449508
57,1726,0.541743,1.157005,1.795369
57,1726,0.700830,1.575542,3.218991
57,1726,0.870996,1.945969,3.835113
57,1726,0.565639,1.160883,2.299139
57,1726,0.626104,1.311158,2.713538
57,1726,1.002425,2.300178,4.920065
57,1726,0.767609,1.683162,3.395567
57,1726,0.717503,1.582716,3.481530
58,1728,0.563019,1.202392,2.281931
58,1728,0.572996,1.190142,2.458204
57,1727,0.465479,1.117597,1.810070
57,1727,0.631563,1.409855,2.959940
57,1727,0.866700,1.942199,3.723747
57,1727,0.749826,1.577543,3.236781
57,1727,0.869812,1.765070,3.661070
58,1728,0.510196,1.108908,2.358167
58,1727,0.571216,1.242187,2.397595
57,1725,0.467845,1.123454,1.813677
57,1725,0.985974,1.946697,4.040800
57,1725,0.555806,1.140326,2.317042
57,1725,0.632118,1.383127,2.868179
57,1725,0.875848,1.990747,4.441071
57,1725,0.839238,1.935169,4.015854
57,1725,0.679836,1.496080,3.214151
57,1725,0.763289,1.710099,3.780600
58,1726,0.542529,1.147045,2.330088
58,1723,0.557589,1.213706,2.394137
57,1721,0.440847,1.143431,1.752678
