#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
14.192902,0.142898,71.780843,90.374667,13.657218,190.149797
9.678769,0.104907,64.160729,90.790254,16.607589,181.343785
9.733858,0.078926,71.363487,100.692878,14.734244,196.604717
9.906030,0.094157,63.997485,95.011002,14.947538,183.957654
10.087665,0.087540,67.798446,95.244428,15.332713,188.552124
10.173347,0.084854,68.353121,101.391625,19.395326,199.399862
10.248371,0.083450,66.167902,98.083286,17.033731,191.618093
10.792024,0.071483,65.694180,102.595310,15.827701,194.982067
11.150091,0.043657,65.043676,107.194504,16.933075,200.366892
11.508049,0.096610,65.193644,101.709501,26.614113,205.123499
10.960198,0.069521,66.450566,106.031645,19.022871,202.535900
11.428018,0.068124,64.365256,108.194155,19.784168,203.840604
11.193305,0.070709,67.807673,105.335842,18.292898,202.701495
11.572723,0.070455,61.863898,107.802593,20.318156,201.628795
11.216704,0.064497,61.345929,111.623113,21.418396,205.670104
10.314201,0.069014,60.288541,103.524662,26.636248,200.834018
9.611780,0.071936,59.791980,106.169901,19.789338,195.436362
9.763988,0.087834,57.416945,108.121846,24.566591,199.958815
9.333011,0.082226,53.865662,106.826093,24.168573,194.277034
9.399745,0.075000,54.791400,104.870387,17.604413,186.742294
9.220416,0.068349,59.359762,102.809194,19.039298,190.498485
9.846414,0.082914,53.836761,99.219779,19.663122,182.650127
10.447930,0.064251,59.667708,113.173359,24.110749,207.464736
12.524491,0.060246,65.360493,109.986389,25.196174,213.129043
15.994367,0.069189,73.289753,111.852483,35.851210,237.057925
12.890279,0.065549,58.385636,113.669828,26.571832,211.583868
14.134718,0.062128,63.111626,109.827411,32.276211,219.413983
13.765846,0.062162,59.206120,113.220204,25.728580,211.984053
14.091397,0.059679,63.961837,112.670077,31.212573,221.997125
13.608976,0.066160,62.901528,112.981389,27.358090,216.917130
15.507904,0.074076,62.352517,108.844184,27.490655,214.270531
14.207287,0.061563,64.275666,110.036731,28.284699,216.867279
15.169396,0.056240,58.197340,111.995083,31.557463,216.976670
15.433845,0.067576,60.290114,114.690683,28.476286,218.959763
16.718964,0.055696,55.884712,111.914955,33.319761,217.895238
15.570074,0.056142,75.118318,125.176189,33.924377,249.846757
16.371799,0.066171,61.817825,116.589893,31.246667,226.093515
54.743574,0.079824,76.505019,118.725584,38.317239,288.372733
18.907230,0.060222,61.780693,120.210667,29.819941,230.780035
21.647595,0.084894,61.124787,120.674019,30.405331,233.937935
17.895854,0.061789,63.946223,135.742633,34.351741,251.999091
17.344350,0.074671,71.338038,137.804749,30.350797,256.913875
16.274549,0.068641,63.994809,127.665889,33.228012,241.233625
15.227649,0.065186,60.332823,131.154886,30.187087,236.968767
14.305961,0.058773,61.080478,132.428046,32.362159,240.236569
14.900747,0.056865,60.444968,138.562613,30.444576,244.410973
